"RecNo","ExtractedBy","Author","Year","FocalSpC","FocalSpL","MultiplePred","PredSpC","PredSpL","PredGuild","PredTo","Setting","Treatment","Season","Design","TreatmentDuration","duration_days","ResponsePeriod","ControlType","Sex","Age","N","Nobs","NTreat","Ncontrol","SubjectID","ResponseID","Type","Category","SubCategory","ResponseDetails","PredictedDirection","Direction","d","l_95","u_95","v","Calculation","Control_mean","Control_se","Control_sd","Treatment_mean","Treatment_se","Treatment_sd","control_median","control_lowerquartile","control_upperquartile","treament_median","treament_lowerquartile","treatment_upperquartile","Beta_estimate","Beta_se","Beta_sd","l95CI","U95CI","SE","t","T","Z","F","Wald","X2","H","U","p","Details","FocalSpL_corrected"
"47","KJM","Basso",2015,"Great tit","Parus major","N","short-tailed weasel","Mustela erminea","Mammal","N","Field","AV","breeding","among","14 days",14,"during","NonPred","F","A",33,33,17,16,"103","249","LifeHistory","reproduction","EggSize","egg mass",-1,1,0.3563,-0.3318,1.0444,0.123247,"means and se from text",11.723,0.531,NA,12.408,0.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.967,NA,NA,NA,NA,"0.354","","Parus_major"
"47","KJM","Basso",2015,"Great tit","Parus major","N","short-tailed weasel","Mustela erminea","Mammal","N","Field","AV","breeding","among","14 days",14,"during","NonPred","F","A",33,33,17,16,"103","249","LifeHistory","reproduction","Nestlings","brood size",-1,1,0.1908,-0.4935,0.875,0.1219,"F statistic and sample size from text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.3,NA,NA,NA,NA,"0.599","","Parus_major"
"48","KJM","Dillon",2018,"Red-faced warbler","Cardellina rubrifrons","N","Cliff chipmunk","Tamias dorsalis","Mammal","N","Field","L","breeding","among","7 days",7,"after","NonPred","F","A",83,83,39,44,"c","3","LifeHistory","reproduction","ClutchSize","clutch size",-1,1,-0.0707,-0.5042,0.3629,0.048927,"raw data extracted from Figure 2",4.41,NA,0.62,4.08,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","pooled supplemented and non-supplemented since no effect of supplementation","Cardellina_rubrifrons"
"53","JDAT","Ruuskanen",2017,"Pied flycatcher","Ficedula hypoleuca","N","Stoat","Mustela erminea","Mammal","N","Field","OV","breeding","among","11 days",11,"during","disturbance","F","A",32,32,16,16,"37","115","LifeHistory","Phenology","LayDate","LayingDate",1,1,-0.1013,-0.7947,0.5921,0.12516,"Table 1, means and se from control & predator only",25.4,0.59,NA,25.18,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Ficedula_hypoleuca"
"53","JDAT","Ruuskanen",2017,"Pied flycatcher","Ficedula hypoleuca","N","Stoat","Mustela erminea","Mammal","N","Field","OV","breeding","among","11 days",11,"during","disturbance","F","A",32,32,16,16,"37","116","LifeHistory","reproduction","ClutchSize","ClutchSize",-1,1,-0.0788,-0.7721,0.6144,0.125097,"Table 1, means and se from control & predator only",6.7,0.66,NA,6.5,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Ficedula_hypoleuca"
"53","JDAT","Ruuskanen",2017,"Pied flycatcher","Ficedula hypoleuca","N","Stoat","Mustela erminea","Mammal","N","Field","OV","breeding","among","11 days",11,"during","disturbance","both","E",32,32,16,16,"37","116","LifeHistory","reproduction","EggSize","EggMass",-1,1,-0.4899,-1.1932,0.2134,0.1275,"Table 1, means and se from control & predator only",1.69,0.06,NA,1.6,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Ficedula_hypoleuca"
"53","JDAT","Ruuskanen",2017,"Pied flycatcher","Ficedula hypoleuca","N","Stoat","Mustela erminea","Mammal","N","Field","OV","breeding","among","11 days",11,"during","disturbance","F","A",32,32,16,16,"37","117","Physiology","Condition","Mass","FemaleBodyMass",-1,1,0.1004,-0.593,0.7938,0.125158,"Table 1, means and se from control & predator only",14,0.18,NA,14.07,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Ficedula_hypoleuca"
"56","KJM","Exposito-Granados",2016,"European roller","Coracias garrulus","N","ladder snake","Zamenis scalaris","Reptile","N","Field","V","breeding","within","90 minutes",0.125,"during","Blank","M","A",9,18,9,9,"137","306","Behaviour","ParentalCare","Provisioning","probablity of provisioning",-1,1,1.5431,0.1604,2.9259,0.497734,"raw data in results",0.333333333,NA,NA,0.888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"0.049","","Coracias_garrulus"
"56","KJM","Exposito-Granados",2016,"European roller","Coracias garrulus","N","ladder snake","Zamenis scalaris","Reptile","N","Field","V","breeding","within","90 minutes",0.125,"during","Blank","F","A",9,18,9,9,"137","306","Behaviour","ParentalCare","Provisioning","probability of provisioning",-1,1,0,-1.0833,1.0833,0.305506,"raw data in results",0.666666667,NA,NA,0.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"0.69","","Coracias_garrulus"
"56","KJM","Exposito-Granados",2016,"European roller","Coracias garrulus","N","ladder snake","Zamenis scalaris","Reptile","N","Field","V","breeding","within","90 minutes",0.125,"during","Blank","M","A",9,18,9,9,"137","306","Behaviour","ParentalCare","Provisioning","provisioning rate",-1,1,0.5415,NA,NA,NA,"figure 1",0.8047371,NA,2.1116628,1.751011,NA,1.283976,0,0,2.414211438,1.504332756,1.140381282,2.608318891,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Coracias_garrulus"
"56","KJM","Exposito-Granados",2016,"European roller","Coracias garrulus","N","ladder snake","Zamenis scalaris","Reptile","N","Field","V","breeding","within","90 minutes",0.125,"during","Blank","F","A",9,18,9,9,"137","306","Behaviour","ParentalCare","Provisioning","provisioning rate",-1,1,-0.1,NA,NA,NA,"figure 1",0.8411323,NA,1.6341511,0.6995956,NA,1.1566394,0.606585789,0.024263432,1.89254766,0.752166378,0.012131716,1.334488735,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Coracias_garrulus"
"56","KJM","Exposito-Granados",2016,"European roller","Coracias garrulus","N","ladder snake","Zamenis scalaris","Reptile","N","Field","V","breeding","within","90 minutes",0.125,"during","Blank","both","N",18,36,18,18,"137","307","Physiology","Condition","Growth","rate of mass gain",-1,1,-0.7316,NA,NA,NA,"figure 2",3.062016,NA,5.425413,-0.9069767,NA,6.4356621,2.209302326,0.11627907,6.860465116,-1.651162791,-4.534883721,3.465116279,NA,NA,NA,NA,NA,NA,"",NA,2.02,NA,NA,NA,NA,NA,"0.04","","Coracias_garrulus"
"60","KJM","Coslovsky",2011,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","10 days",10,"during","NonPred","F","A",46,46,25,21,"111","250","LifeHistory","reproduction","Nestlings","brood size at hatching",-1,1,-0.0688,-0.6492,0.5115,0.0877,"means and sd, Table1",7.04,NA,1.42,7.04,NA,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"60","KJM","Coslovsky",2011,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","10 days",10,"during","NonPred","F","A",46,46,25,21,"111","251","LifeHistory","reproduction","EggSize","mean egg mass",-1,1,-0.2866,-0.8697,0.2965,0.0885,"means and sd, Table1",1.6,NA,0.11,1.57,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"60","KJM","Coslovsky",2011,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","10 days",10,"after","NonPred","F","A",46,46,25,21,"111","252","Behaviour","ParentalCare","Provisioning","feeding rate (events/hr)",-1,1,-0.1008,-0.6762,0.4746,0.0862,"means and sd, Table1",19.6,NA,9.39,18.83,NA,5.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"61","KJM","Santema",2019,"Blue tit","Cyanistes caeruleus","Y","","","Bird","A","Field","A","breeding","among","68 days",68,"during","NonPred","F","A",114,114,56,58,"122","253","LifeHistory","Phenology","LayDate","laying date",1,1,-0.1611,-0.5289,0.2067,0.0352,"t statistic, table 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18,1.32,NA,NA,NA,NA,"-0.86",NA,NA,NA,NA,NA,NA,NA,"0.79","","Parus_caeruleus"
"61","KJM","Santema",2019,"Blue tit","Cyanistes caeruleus","Y","","","Bird","A","Field","A","breeding","among","68 days",68,"during","NonPred","F","A",114,114,56,58,"122","254","LifeHistory","reproduction","ClutchSize","clutch size",-1,1,0.045,-0.3223,0.4122,0.0351,"t statistic, table 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.35,NA,NA,NA,NA,"0.24",NA,NA,NA,NA,NA,NA,NA,"0.99","","Parus_caeruleus"
"61","KJM","Santema",2019,"Blue tit","Cyanistes caeruleus","Y","","","Bird","A","Field","A","breeding","among","68 days",68,"during","NonPred","both","N",93,93,51,42,"122","255","Physiology","Condition","Mass","body mass (g)",-1,1,-0.0688,-0.4773,0.3398,0.0434,"t statistic, table 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,0.14,NA,NA,NA,NA,"-0.33",NA,NA,NA,NA,NA,NA,NA,"0.98","","Parus_caeruleus"
"61","KJM","Santema",2019,"Blue tit","Cyanistes caeruleus","Y","","","Bird","A","Field","A","breeding","among","68 days",68,"during","NonPred","F","A",87,87,46,41,"122","256","Behaviour","ParentalCare","Incubation","hours incubating per day",-1,1,-0.1138,-0.5351,0.3075,0.0462,"t statistic, table 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12,0.24,NA,NA,NA,NA,"-0.53",NA,NA,NA,NA,NA,NA,NA,"0.94","","Parus_caeruleus"
"61","KJM","Santema",2019,"Blue tit","Cyanistes caeruleus","Y","","","Bird","A","Field","A","breeding","among","68 days",68,"during","NonPred","M","A",83,83,47,36,"122","257","Behaviour","ParentalCare","Incubation","incubation feeds to female",-1,1,0.5161,0.0749,0.9572,0.0507,"t statistic, table 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.97,2.14,NA,NA,NA,NA,"2.33",NA,NA,NA,NA,NA,NA,NA,"0.068","","Parus_caeruleus"
"61","KJM","Santema",2019,"Blue tit","Cyanistes caeruleus","Y","","","Bird","A","Field","A","breeding","among","68 days",68,"during","NonPred","F","A",91,91,50,41,"122","258","Behaviour","ParentalCare","Provisioning","provisioning rate",-1,1,0.2613,-0.1534,0.6759,0.0448,"t statistic, table 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.29,11.53,NA,NA,NA,NA,"1.24",NA,NA,NA,NA,NA,NA,NA,"0.54","","Parus_caeruleus"
"61","KJM","Santema",2019,"Blue tit","Cyanistes caeruleus","Y","","","Bird","A","Field","A","breeding","among","68 days",68,"during","NonPred","M","A",89,89,49,40,"122","258","Behaviour","ParentalCare","Provisioning","provisioning rate",-1,1,0.7224,0.2915,1.1533,0.0483,"t statistic, table 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.54,11.08,NA,NA,NA,NA,"3.39",NA,NA,NA,NA,NA,NA,NA,"0.003","","Parus_caeruleus"
"72","KJM","Grade",2021,"House wren","Troglodytes aedon","Y","","","Bird","A","Field","A","breeding","among","16 days",16,"during","NonPred","both","A",288,288,144,144,"113","259","Physiology","Condition","Growth","nestling body mass on day 12 (measure of parental investment)",-1,1,-0.4384,-0.6721,-0.2047,0.0142,"text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-3.72",NA,NA,NA,NA,NA,NA,NA,"0.01","","Troglodytes_aedon"
"80","KJM","Sternalski",2010,"Marsh harrier","Circus aeruginosus","N","fox","Vulpes vulpes","Mammal","A","Field","V","non-breeding","among","15 minutes",0.020833333,"during","NonPred","both","A",83,83,66,17,"122","228","Behaviour","AntiPredator","Mobbing","mobbing call to recruit conspecifics",1,1,0.1619,-0.3717,0.6956,0.074133,"Fig 2b. Far. ES calculator",36.43123,17.47212,NA,52.04461,12.63941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Circus_aeruginosus"
"80","KJM","Sternalski",2010,"Marsh harrier","Circus aeruginosus","N","fox","Vulpes vulpes","Mammal","A","Field","V","non-breeding","among","15 minutes",0.020833333,"during","NonPred","both","A",83,83,66,17,"122","228","Behaviour","AntiPredator","Mobbing","mobbing call to recruit conspecifics",1,1,0.7297,0.1852,1.2742,0.077183,"Fig 2b. Near. ES calcular",33.45725,14.86989,NA,89.59108,3.345725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Circus_aeruginosus"
"80","KJM","Sternalski",2010,"Marsh harrier","Circus aeruginosus","N","fox","Vulpes vulpes","Mammal","A","Field","V","non-breeding","among","15 minutes",0.020833333,"during","NonPred","both","A",83,83,66,17,"122","228","Behaviour","AntiPredator","Mobbing","recruitment of conspecifics",1,1,0.2259,-0.3083,0.7601,0.074282,"Fig 2c, Far. ES calculator",0,0,NA,23.04833,14.12639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Circus_aeruginosus"
"80","KJM","Sternalski",2010,"Marsh harrier","Circus aeruginosus","N","fox","Vulpes vulpes","Mammal","A","Field","V","non-breeding","among","15 minutes",0.020833333,"during","NonPred","both","A",83,83,66,17,"122","228","Behaviour","AntiPredator","Mobbing","recruitment of conspecifics",1,1,0.9547,0.4022,1.5072,0.079465,"Fig 2c. Near. ES calculator",0,0,NA,48.69888,7.063197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Circus_aeruginosus"
"84","KJM","Grunst",2014,"Yellow warbler","Setophaga petechia","N","Sharp-shinned Hawk","Accipiter striatus","Bird","A","Field","AV","breeding","within","1.5 hours",0.125,"after","NonPred","M","A",45,90,45,45,"117","220","Behaviour","ParentalCare","Provisioning","provisioning rate (provisioning events per hour)",-1,1,-2.0419,-2.5515,-1.5323,0.067608,"means and se from figure 1",7.147368,0.394737,NA,2.363158,0.306122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Dendroica_petechia"
"84","KJM","Grunst",2014,"Yellow warbler","Setophaga petechia","N","Sharp-shinned Hawk","Accipiter striatus","Bird","A","Field","AV","breeding","within","1.5 hours",0.125,"after","Blank","M","A",45,90,45,45,"117","220","Behaviour","ParentalCare","Provisioning","provisioning rate (provisioning events per hour)",-1,1,-1.9464,-2.448,-1.4449,0.065492,"means and se from figure 1",6.878947,0.298067,NA,2.363158,0.306122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Dendroica_petechia"
"84","KJM","Grunst",2014,"Yellow warbler","Setophaga petechia","N","Sharp-shinned Hawk","Accipiter striatus","Bird","A","Field","AV","breeding","within","1.5 hours",0.125,"after","NonPred","F","A",45,90,45,45,"117","220","Behaviour","ParentalCare","Provisioning","provisioning rate (provisioning events per hour)",-1,1,-1.3967,-1.8575,-0.9358,0.055281,"means and se from figure 1",5.836842,0.324472,NA,2.489474,0.134743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Dendroica_petechia"
"84","KJM","Grunst",2014,"Yellow warbler","Setophaga petechia","N","Sharp-shinned Hawk","Accipiter striatus","Bird","A","Field","AV","breeding","within","1.5 hours",0.125,"after","Blank","F","A",45,90,45,45,"117","220","Behaviour","ParentalCare","Provisioning","provisioning rate (provisioning events per hour)",-1,1,-1.5278,-1.9974,-1.0581,0.057412,"means and se from figure 1",5.9,0.348192,NA,2.489474,0.134743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Dendroica_petechia"
"85","JDAT","Lange",2001,"Great tit","Parus major","N","Eurasian pygmy owl","Glaucidium passerinum","Bird","A","Lab","V","non-breeding","within","20 min",0.027777778,"after","Blank","M","J",9,18,9,9,"20","80","Behaviour","AntiPredator","Vigilance","ScanningFrequency",1,1,1.6913,0.6148,2.27679,0.0784,"Fig1, 0-5 min interval (first period after treatment)",0.916,0.1188,NA,1.407,0.0834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,NA,NA,NA,"<0.05","","Parus_major"
"85","JDAT","Lange",2001,"Great tit","Parus major","N","Eurasian pygmy owl","Glaucidium passerinum","Bird","A","Lab","V","non-breeding","within","20 min",0.027777778,"after","Blank","M","J",9,18,9,9,"20","80","Behaviour","AntiPredator","Vigilance","LongInterscanInterval",1,-1,-1.4028,-2.4341,-0.3715,0.276885,"Fig2",13.4291,4.0754,NA,1.6876,0.9515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4.5,NA,NA,NA,NA,NA,NA,"0.033","","Parus_major"
"85","JDAT","Lange",2001,"Great tit","Parus major","N","Eurasian pygmy owl","Glaucidium passerinum","Bird","A","Lab","V","non-breeding","within","20 min",0.027777778,"after","Blank","M","J",9,18,9,9,"20","82","Behaviour","Intake","Foraging","TimeEating",-1,1,-0.436,-1.3708,0.4989,0.227502,"Text",220.6,19,NA,188.6,31.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",18,NA,NA,NA,NA,NA,NA,">0.5","","Parus_major"
"89","JDAT","Hakkarainen",2001,"Boreal owl","Aegolius funereus","N","American Mink","Mustela vision","Mammal","N","Field","L","breeding","among","1 day",1,"after","Blank","both","J",23,23,15,8,"18","78","LifeHistory","Phenology","DevelopmentalTime","FledgingAge",1,1,-0.3652,-1.2298,0.4993,0.1946,"Table 1 means and se",2.25,NA,1.98,1.67,NA,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.84",NA,NA,NA,NA,NA,NA,NA,"0.41","","Aegolius_funereus"
"89","JDAT","Hakkarainen",2001,"Boreal owl","Aegolius funereus","N","American Mink","Mustela vision","Mammal","N","Field","L","breeding","among","1 day",1,"after","Blank","both","J",23,23,15,8,"18","79","Behaviour","AntiPredator","Avoidance","probability of using the same nestbox the following year",1,-1,-1.37,-2.4947,-0.2453,0.329294,"proportions in text",0.75,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"0.02","","Aegolius_funereus"
"89","JDAT","Hakkarainen",2001,"Boreal owl","Aegolius funereus","N","American Mink","Mustela vision","Mammal","N","Field","L","breeding","among","1 day",1,"after","Blank","both","J",23,23,15,8,"18","79","Behaviour","AntiPredator","Avoidance","BreedingDispersal",1,1,0.9585,0.0569,1.8902,0.21164,"exact p-value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.18",NA,NA,NA,NA,NA,NA,NA,"0.04","","Aegolius_funereus"
"92","JDAT","Ibáñez-Álamo",2011,"Common blackbird","Turdus merula","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"after","Blank","both","N",90,360,90,90,"63","157","Physiology","Hormones","Corticosterone","CorticosteronLevel",1,1,-0.2664,-0.5598,0.0271,0.022419,"Fig1",6.5514,0.8125,NA,4.6154,5.3414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4.64,NA,NA,NA,NA,"0.04","","Turdus_merula"
"92","JDAT","Ibáñez-Álamo",2011,"Common blackbird","Turdus merula","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"after","Blank","both","N",90,360,90,90,"63","157","Physiology","Hormones","Corticosterone","CorticosteronMaxLevel",1,1,0.073,-0.2193,0.3652,0.022237,"Fig1",16.9404,1.8841,NA,18.2195,1.8324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.44,NA,NA,NA,NA,"0.52","","Turdus_merula"
"97","KJM","Niederhauser",2014,"Florida scrub-jay","Aphelocoma coerulescents","Y","","","mixed","B","Field","V","breeding","among","2 days",2,"after","Blank","F","A",24,24,12,12,"135","260","Behaviour","ParentalCare","Incubation","parental care: PCA of proportion time at the nest and frequency of on- and off-bouts by female (overall)",-1,1,1.1762,0.3096,2.0427,0.1955,"exact p-value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,8.3,NA,NA,NA,NA,"0.007","","Aphelocoma_coerulescens"
"97","KJM","Niederhauser",2014,"Florida scrub-jay","Aphelocoma coerulescents","Y","","","mixed","B","Field","V","breeding","among","2 days",2,"after","Blank","both","N",24,24,12,12,"135","261","Behaviour","Intake","Begging","begging rate",-1,1,-0.4519,-1.2622,0.3584,0.170922,"means and se pulled from Figure 2",4.612637,0.1135234,NA,4.69011,0.176609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Aphelocoma_coerulescens"
"104","KJM","Fernandez-Juricic",2007,"House finch","Haemorhous mexicanus","N","red-shouldered hawk","Buteo lineatus","Bird","A","Semi-natural","V","non-breeding","among","seconds",0.000231481,"after","Blank","both","A",45,90,45,45,"110","206","Behaviour","AntiPredator","Avoidance","habitat choice: time out of refuge",1,-1,0.13,-0.455,0.7149,0.0891,"ES Tab 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.19,NA,NA,NA,NA,"0.663","","Carpodacus_mexicanus"
"104","KJM","Fernandez-Juricic",2007,"House finch","Haemorhous mexicanus","N","red-shouldered hawk","Buteo lineatus","Bird","A","Semi-natural","V","non-breeding","among","seconds",0.000231481,"after","Blank","both","A",45,90,45,45,"110","207","Behaviour","Intake","Foraging","foraging: pecking rate",-1,1,0.3266,0.2616,0.9148,0.0901,"ES Tab 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,1.2,NA,NA,NA,NA,"0.279","","Carpodacus_mexicanus"
"104","KJM","Fernandez-Juricic",2007,"House finch","Haemorhous mexicanus","N","red-shouldered hawk","Buteo lineatus","Bird","A","Semi-natural","V","non-breeding","among","seconds",0.000231481,"after","Blank","both","A",18,36,18,18,"110","208","Behaviour","AntiPredator","Vigilance","vigilance: log scanning rae",1,1,0.1229,-0.531,0.7769,0.11321,"Figure 2a, shade",2.284483,0.140086,NA,2.356023,0.142182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Carpodacus_mexicanus"
"104","KJM","Fernandez-Juricic",2007,"House finch","Haemorhous mexicanus","N","red-shouldered hawk","Buteo lineatus","Bird","A","Semi-natural","V","non-breeding","among","seconds",0.000231481,"after","Blank","both","A",27,54,27,27,"110","208","Behaviour","AntiPredator","Vigilance","vigilance: log scanning rae",1,1,-0.6377,-1.1845,-0.0909,0.07784,"figure 2a, sunlight",2.356023,0.119732,NA,1.96684,0.119732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Carpodacus_mexicanus"
"104","KJM","Fernandez-Juricic",2007,"House finch","Haemorhous mexicanus","N","red-shouldered hawk","Buteo lineatus","Bird","A","Semi-natural","V","non-breeding","among","seconds",0.000231481,"after","Blank","both","A",18,36,18,18,"110","208","Behaviour","AntiPredator","Vigilance","vigilance: log scan bout duration ",1,1,0.2007,-0.4543,0.8557,0.111671,"figure 2b, shade",7.734022,0.094766,NA,7.813361,0.09697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Carpodacus_mexicanus"
"104","KJM","Fernandez-Juricic",2007,"House finch","Haemorhous mexicanus","N","red-shouldered hawk","Buteo lineatus","Bird","A","Semi-natural","V","non-breeding","among","seconds",0.000231481,"after","Blank","both","A",27,54,27,27,"110","208","Behaviour","AntiPredator","Vigilance","vigilance: log scan bout duration ",1,1,0.0692,-0.4644,0.6028,0.074118,"figure2b, sunlight",7.45854,0.074931,NA,7.484986,0.074931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Carpodacus_mexicanus"
"106","JDAT","Morrison",2011,"Cherrie's tanager","Ramphocelus costaricensis","N","Barred Forest-falcon","Micrastur rufficolis","Bird","A","Field","A","breeding","among","10 sec",0.000231481,"after","NonPred","both","A",12,12,7,5,"45","128","Behaviour","AntiPredator","Vigilance","PercentTimeSpendAlert",1,1,1.17032,0.3685,3.0379,0.4637,"mean gain + SD extracted from figure 2a, small patch",0.8,NA,10.08859,28.9334,NA,19.66957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Ramphocelus_costaricensis"
